English,Russian
acting,действующий
accept,принимать
blow,дуть
strange,странный
saved,сохранил
Ivy,Плющ
conversation,беседа
plane,самолет
mama,мама
yesterday,вчера
lied,лгал
quick,быстрый
lately,недавно
stuck,застрявший
lovely,прекрасный
security,безопасность
report,отчет
Barbara,Барбара
difference,разница
rid,избавлять
store,магазин
she'd,сбрасывать
bag,сумка
bought,купил
ball,мяч
single,одинокий
doubt,сомневаться
listening,прослушивание
major,главный
walking,гулять пешком
cops,полицейский
blue,синий
deep,глубокий
dangerous,опасный
Buffy,Баффи
park,парк
sleeping,спать
record,записывать
lord,господин
moved,взолнованный
join,присоединиться
key,ключ
captain,капитан
card,карта
crime,преступление
gentlemen,господа
willing,готовый
window,окно
return,возвращаться
walked,ходил
guilty,виновный
likes,нравится
fighting,боевой
difficult,трудный
soul,душа
joke,шутить
service,услуга
magic,магия
favorite,любимый
uncle,дядя
promised,обещано
public,публичный
bother,беспокоить
island,остров
Jim,Джим
seriously,серьезно
cell,клетка
knowing,знание
broken,сломанный
advice,совет
somehow,как-то
paid,оплаченный
Blair,Блэр
losing,проиграв
push,толкать
helped,помог
killing,убийство
usually,обычно
earlier,ранее
boss,босс
Laura,Лаура
beginning,начало
liked,понравилось
innocent,невиновный
doc,док
rules,правила
summer or Summer,лето или лето
ex,бывший
cop,полицейский
learned,научился
thirty,тридцать
risk,риск
letting,пусть
Phillip,Филипп
speaking,Говорящий
officer,офицер
ridiculous,нелепый
support,поддерживать
afternoon,полдень
Eric,Эрик
born,рожденный
dreams,мечты
apologize,извиняться
seat,сиденье
nervous,нервный
song,песня
Olivia,Оливия
charge,заряжать
patient,пациент
Cassie,Кэсси
boat,лодка
how'd,Как
brain,мозг
hide,скрывать
detective,детектив
Aaron,Аарон
Kendall,Кендалл
general,общий
planning,планирование
nine,девять
huge,огромный
breakfast,завтрак
horrible,ужасный
age,возраст
awful,ужасный
driving,вождение
hanging,висящий
picked,выбран
system,система
sell,продавать
quit,покидать
apparently,видимо
dying,умирающий
notice,уведомление
Josh,Джош
congratulations,поздравляю
chief,главный
faith,вера
Simon,Саймон
gay,гей
ho or Ho,хо или хо
one's,по -прежнему
month,месяц
visit,посещать
Hal,Отстранение
could've,мог
c'mon,Да ладно
letter,письмо
decide,решать
American,Американец
double,двойной
sad,грустный
press,нажимать
forward,вперед
fool,дурак
showed,показано
smell,запах
seemed,казался
spell,заклинание
memory,Память
Alan,Алан
pictures,картинки
Paris,Париж
slow,медленный
Joe or joe,Джо или Джо
Tim,Тим
seconds,секунды
hungry,голодный
board,доска
position,позиция
hearing,слушание
force,сила
fly,летать
during,в течение
space,космос
should've,должен был
realized,осуществленный
experience,опыт
kick,пинать
others,другие
grab,схватить
discuss,обсуждать
third,третий
responsible,ответственный
fat,толстый
reading,чтение
idiot,идиот
yep,ага
rock,камень
rich,богатый
suddenly,внезапно
agent,агент
bunch,связка
destroy,разрушать
bucks,Бакс
track,отслеживать
shoes,обувь
scene,сцена
peace,мир
arms,оружие
demon,демон
low,низкий
consider,учитывать
papers,документы
medical,медицинский
incredible,невероятный
witch,ведьма
drunk,пьяный
attorney,адвокат
Charlie,Чарли
